llm_name,article_key,gold_epu,gold_who,gold_actions,gold_effects,gold_mention_foreign,gold_mainly_foreign,disagreement_flag,newspaper,year,content_len,condition,epu_pred,epu_correct,confidence,focus_excerpt,excerpt_in_target,json_valid,aux_mean,task_completion_count,who_pred,who_correct,who_present,actions_pred,actions_correct,actions_present,effects_pred,effects_correct,effects_present,mention_foreign_pred,mention_foreign_correct,mention_foreign_present,mainly_foreign_pred,mainly_foreign_correct,mainly_foreign_present
google/gemini-2.5-pro,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,single_focus,1.0,1.0,0.9,"Eisuke Sakakibara, the Japanese Ministry of Finance official...said the currency markets may have been tto pessimistic about the weakening yen and that the time may be right for Tokyo to intervene again to support the currency",0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-2.5-pro,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_first,1.0,1.0,1.0,"Wall Street muddled through a dull session on Monday, as optimists and pessimists continued their tug of war amid the aftershocks of Russia's latest political earthquake.",1,1,0.6,5,1.0,1.0,1,1.0,0.0,1,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1
google/gemini-2.5-pro,Current_1332,1,1,0,1,1,1,0,LAT,1998,7835,multi_focus_epu_last,1.0,1.0,0.9,"Eisuke Sakakibara, the Japanese Ministry of Finance official... said the currency markets may have been tto pessimistic about the weakening yen and that the time may be right for Tokyo to intervene again to support the currency",0,1,0.6,5,1.0,1.0,1,1.0,0.0,1,0.0,0.0,1,1.0,1.0,1,1.0,1.0,1
google/gemini-2.5-pro,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,single_focus,0.0,1.0,1.0,"But Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense: Tto big is unwieldy.",1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-2.5-pro,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_first,1.0,0.0,0.9,"But Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense: Tto big is unwieldy.",1,1,0.2,5,1.0,0.0,1,1.0,0.0,1,0.0,1.0,1,1.0,0.0,1,1.0,0.0,1
google/gemini-2.5-pro,Current_910,0,0,0,0,0,0,0,SFC,1998,6713,multi_focus_epu_last,0.0,1.0,0.9,"But Naumann is uncertain about a second round of expansion, and he thinks that endless enlargement makes no sense: Tto big is unwieldy. The question is where to draw the line.",1,1,0.2,5,1.0,0.0,1,1.0,0.0,1,0.0,1.0,1,1.0,0.0,1,1.0,0.0,1
google/gemini-2.5-pro,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,single_focus,1.0,0.0,0.9,"In an unscheduled proposal, which put Mr. Zedillo uncomfortably on the spot, Eugenio Clariond Reyes Re- tana, president of the Mexican Businessmen's Council, urged him to con­vert to a dollar-based economy. Mr. Zedillo, though, made it clear that he ",0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
google/gemini-2.5-pro,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_first,1.0,0.0,0.9,"In an unscheduled proposal, which put Mr. Zedillo uncomfortably on the spot, Eugenio Clariond Reyes Retana, president of the Mexican Businessmen's Council, urged him to convert to a dollar-based economy.",0,1,0.8,5,0.0,1.0,1,1.0,0.0,1,0.0,1.0,1,1.0,1.0,1,1.0,1.0,1
google/gemini-2.5-pro,Midcentury_7857,0,0,0,0,1,1,0,NYT,1999,4111,multi_focus_epu_last,0.0,1.0,1.0,"A chipper speech by Mr. Zedillo and the satisfied applause of his au­dience showed how far Mexico had come in its efforts to separate itself in international investors' minds from other, more troubled Latin countries since economic crisis shtok much ",1,1,1.0,5,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,1.0,1.0,1,1.0,1.0,1
google/gemini-2.5-pro,Current_411,1,1,1,0,1,1,0,LAT,1993,9813,single_focus,1.0,1.0,1.0,"However, they are heading home today uncertain whether the Clinton Administration will obtain an agreement with strong enough anti-dumping provisions that they will be able to support it.",1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0
